"category","product_id","product_name"
"Furniture","FUR-CH-10002024","HON 5400 Series Task Chairs for Big and Tall"
"Technology","TEC-PH-10004912","Cisco SPA112 2 Port Phone Adapter"
"Office Supplies","OFF-PA-10002581","Xerox 1951"
"Furniture","FUR-CH-10002880","Global High-Back Leather Tilter, Burgundy"
"Office Supplies","OFF-PA-10003919","Xerox 1989"
"Furniture","FUR-FU-10003832","Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry"
"Office Supplies","OFF-BI-10003712","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue"
"Office Supplies","OFF-EN-10002986","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
"Office Supplies","OFF-LA-10001045","Permanent Self-Adhesive File Folder Labels for Typewriters by Universal"
"Office Supplies","OFF-FA-10003467","Alliance Big Bands Rubber Bands, 12/Pack"
"Office Supplies","OFF-PA-10001870","Xerox 202"
"Technology","TEC-PH-10001128","Motorola Droid Maxx"
"Technology","TEC-PH-10004774","Gear Head AU3700S Headset"
"Furniture","FUR-FU-10000719","DAX Cubicle Frames, 8-1/2 x 11"
"Office Supplies","OFF-AP-10003622","Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
"Office Supplies","OFF-ST-10001228","Personal File Boxes with Fold-Down Carry Handle"
"Furniture","FUR-CH-10004675","Lifetime Advantage Folding Chairs, 4/Carton"
"Office Supplies","OFF-AR-10003158","Fluorescent Highlighters by Dixon"
"Office Supplies","OFF-ST-10000585","Economy Rollaway Files"
"Office Supplies","OFF-AR-10004441","BIC Brite Liner Highlighters"
"Office Supplies","OFF-FA-10000304","Advantus Push Pins"
"Office Supplies","OFF-AR-10000817","Manco Dry-Lighter Erasable Highlighter"
"Technology","TEC-PH-10001949","Cisco SPA 501G IP Phone"
"Furniture","FUR-FU-10000308","Deflect-o Glass Clear Studded Chair Mats"
"Technology","TEC-MA-10003626","Hewlett-Packard Deskjet 6540 Color Inkjet Printer"
"Office Supplies","OFF-BI-10004738","Flexible Leather- Look Classic Collection Ring Binder"
"Technology","TEC-AC-10004469","Microsoft Sculpt Comfort Mouse"
"Technology","TEC-PH-10002262","LG Electronics Tone+ HBS-730 Bluetooth Headset"
"Furniture","FUR-FU-10000758","DAX Natural Wood-Tone Poster Frame"
"Technology","TEC-CO-10003236","Canon Image Class D660 Copier"
"Office Supplies","OFF-ST-10001128","Carina Mini System Audio Rack, Model AR050B"
"Office Supplies","OFF-PA-10002036","Xerox 1930"
"Office Supplies","OFF-BI-10003784","Computer Printout Index Tabs"
"Office Supplies","OFF-BI-10001718","GBC DocuBind P50 Personal Binding Machine"
